Date,Open,High,Low,Close,AdjClose,Volume
"Sent: b'[7/21/1997, 0.108854, 0.109896, 0.107292, 0.109115, 0.109115,11496000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[7/22/1997, 0.108333, 0.109375, 0.103125, 0.106771, 0.106771,31272000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[7/23/1997, 0.109375, 0.116667, 0.108854, 0.114583, 0.114583,65184000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[7/24/1997, 0.115104, 0.115625, 0.110938, 0.113021, 0.113021,24336000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[7/25/1997, 0.110938, 0.1125, 0.110938, 0.111458, 0.111458,12408000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[7/28/1997, 0.111458, 0.119792, 0.110938, 0.116146, 0.116146,51480000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[7/29/1997, 0.118229, 0.125, 0.116667, 0.123958, 0.123958,96288000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[7/30/1997, 0.125, 0.12526, 0.121354, 0.122396, 0.122396,50352000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[7/31/1997, 0.121875, 0.121875, 0.116667, 0.119792, 0.119792,29088000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/1/1997, 0.117188, 0.120833, 0.1125, 0.120833, 0.120833,71760000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/4/1997, 0.11875, 0.120573, 0.115104, 0.115625, 0.115625,53424000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/5/1997, 0.116667, 0.116667, 0.107292, 0.110417, 0.110417,60648000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/6/1997, 0.110417, 0.115625, 0.109375, 0.1125, 0.1125,24864000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/7/1997, 0.1125, 0.113021, 0.10625, 0.108854, 0.108854,40680000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/8/1997, 0.108333, 0.115104, 0.105208, 0.114583, 0.114583,44232000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/11/1997, 0.114583, 0.116667, 0.1125, 0.116406, 0.116406,24792000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/12/1997, 0.114063, 0.115104, 0.109896, 0.109896, 0.109896,11424000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/13/1997, 0.111458, 0.111458, 0.108333, 0.109896, 0.109896,11808000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/14/1997, 0.108854, 0.1125, 0.10599, 0.107813, 0.107813,20832000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/15/1997, 0.106771, 0.107813, 0.096875, 0.105729, 0.105729,31944000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/18/1997, 0.102604, 0.102604, 0.098438, 0.102083, 0.102083,35688000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/19/1997, 0.104688, 0.110417, 0.102604, 0.108333, 0.108333,20064000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/20/1997, 0.109375, 0.109375, 0.103646, 0.108333, 0.108333,19992000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/21/1997, 0.106771, 0.108594, 0.103646, 0.105729, 0.105729,12480000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/22/1997, 0.105208, 0.10625, 0.104688, 0.10625, 0.10625,14256000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/25/1997, 0.105208, 0.113021, 0.105208, 0.110938, 0.110938,22536000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/26/1997, 0.111979, 0.117708, 0.111458, 0.117188, 0.117188,51480000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/27/1997, 0.115365, 0.116146, 0.1125, 0.115885, 0.115885,27840000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/28/1997, 0.115104, 0.119792, 0.114063, 0.11875, 0.11875,22944000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[8/29/1997, 0.118229, 0.11875, 0.116146, 0.116927, 0.116927,14448000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/2/1997, 0.117188, 0.11875, 0.116667, 0.117708, 0.117708,14640000]' on port 9999. Hit CTRL-c to stop."
